CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
29180,,22001,"Acadia Parish, LA",County or equivalent,61773,61787,61877,61865,61997,62299,62667,62679,62786,62559,62214,62045,57576,57455,57288
14260,,16001,"Ada County, ID",County or equivalent,392365,392372,393354,401262,408862,415951,425471,432862,444486,456548,468764,481587,494967,497984,511931
28860,,29001,"Adair County, MO",County or equivalent,25607,25606,25625,25657,25675,25703,25521,25353,25244,25429,25476,25343,25314,25246,25185
19740,,8001,"Adams County, CO",County or equivalent,441603,441697,443691,452201,460558,469978,479946,490443,497734,503590,511354,517421,519572,520163,522140
39500,,17001,"Adams County, IL",County or equivalent,67103,67097,67160,67211,67139,66999,66966,66835,66475,66057,65623,65435,65737,65530,64954
19540,,18001,"Adams County, IN",County or equivalent,34387,34384,34444,34368,34400,34644,34758,34945,35178,35385,35595,35777,35809,35826,35961
35020,,28001,"Adams County, MS",County or equivalent,32297,32300,32574,32435,32191,32111,32072,31561,31569,31462,31044,30693,29538,29405,28742
25580,,31001,"Adams County, NE",County or equivalent,31364,31367,31328,31204,31345,31527,31389,31567,31683,31808,31514,31363,31205,31147,31027
23900,,42001,"Adams County, PA",County or equivalent,101407,101428,101479,101474,101254,101137,101353,101808,101911,102562,103062,103009,103852,103795,104127
36830,,53001,"Adams County, WA",County or equivalent,18728,18731,18790,18877,18944,19098,19177,19233,19369,19651,19736,19983,20613,20605,20621
12260,,45003,"Aiken County, SC",County or equivalent,160099,160129,160552,161594,162922,163702,164215,165688,167172,168325,169449,170872,168808,169032,170776
23540,,12001,"Alachua County, FL",County or equivalent,247336,247337,247614,249834,251520,252475,255456,259052,263959,266309,268851,269043,278468,278684,279238
15500,,37001,"Alamance County, NC",County or equivalent,151131,151155,151431,152692,153265,154162,155384,157037,160283,163276,166514,169509,171415,171842,173877
41860,36084,6001,"Alameda County, CA",County or equivalent,1510271,1510258,1512986,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329,1682353,1679844,1648556
10580,,36001,"Albany County, NY",County or equivalent,304204,304208,304086,304596,305723,306589,307151,307433,307597,307717,306585,305506,314848,314368,313743
29660,,56001,"Albany County, WY",County or equivalent,36299,36299,36469,36851,37359,37556,37620,37960,37923,38459,38728,38880,37066,37079,37608
16820,,51003,"Albemarle County, VA",County or equivalent,98970,98998,99204,100213,101464,102270,103732,105117,106431,107768,108377,109330,112395,112496,113535
18420,,28003,"Alcorn County, MS",County or equivalent,37057,37062,37107,37282,37209,37281,37254,37276,37246,37165,36810,36953,34740,34680,34349
16020,,17003,"Alexander County, IL",County or equivalent,8238,8238,8206,7992,7717,7238,7083,6762,6459,6278,6041,5761,5240,5168,5030
25860,,37003,"Alexander County, NC",County or equivalent,37198,37182,37233,37026,36922,37012,36987,36960,37133,37143,37331,37497,36444,36430,36644
47900,47894,51510,"Alexandria city, VA",County or equivalent,139966,139998,140729,144219,147291,149637,151375,153654,156698,159215,159069,159428,159467,159097,154706
26090,,26005,"Allegan County, MI",County or equivalent,111408,111400,111523,111163,111499,112009,113349,114112,114979,116368,117173,118081,120502,120596,120950
19060,,24001,"Allegany County, MD",County or equivalent,75087,75047,74965,74572,73947,73576,73020,72462,72053,71352,70941,70416,68106,67947,67729
38300,,42003,"Allegheny County, PA",County or equivalent,1223348,1223303,1223957,1228297,1230911,1233700,1233027,1228827,1226426,1220141,1217281,1216045,1250578,1248717,1238090
23060,,18003,"Allen County, IN",County or equivalent,355329,355339,355945,358974,360890,363355,365147,367362,369412,371723,375079,379299,385410,385892,388608
14540,,21003,"Allen County, KY",County or equivalent,19956,19958,20037,20176,20232,20316,20493,20660,20721,20903,21122,21315,20588,20595,20797
30620,,39003,"Allen County, OH",County or equivalent,106331,106313,106358,105988,105244,105055,104848,104095,103613,103093,102725,102351,102206,102059,101670
10980,,26007,"Alpena County, MI",County or equivalent,29598,29594,29510,29340,29166,28957,28882,28722,28663,28428,28384,28405,28907,28877,28893
40060,,51007,"Amelia County, VA",County or equivalent,12690,12695,12746,12752,12745,12656,12713,12784,12801,12980,13057,13145,13265,13246,13268
31340,,51009,"Amherst County, VA",County or equivalent,32353,32354,32387,32154,32630,32317,32158,31836,31887,31863,31684,31605,31307,31262,31273
11260,,2020,"Anchorage Municipality, AK",County or equivalent,291826,291836,293321,296197,298255,301142,299893,297547,297249,294338,290521,288000,291247,290637,288121
23180,,21005,"Anderson County, KY",County or equivalent,21421,21462,21470,21564,21694,21747,21868,21920,22191,22545,22641,22747,23852,23869,24035
24860,,45007,"Anderson County, SC",County or equivalent,187126,186922,187086,188160,188820,190005,191793,193700,195582,198186,200292,202558,203718,204032,206908
28940,,47001,"Anderson County, TN",County or equivalent,75129,75082,75098,75209,75225,75299,75157,75456,75528,76056,76287,76978,77123,77209,77576
37300,,48001,"Anderson County, TX",County or equivalent,58458,58452,58493,58394,58059,57960,57829,57639,57526,58175,57974,57735,57922,57881,58402
41140,,29003,"Andrew County, MO",County or equivalent,17291,17296,17344,17199,17311,17305,17282,17314,17351,17474,17662,17712,18135,18083,18002
11380,,48003,"Andrews County, TX",County or equivalent,14786,14786,14849,15386,16105,16779,17435,18072,17791,17603,18011,18705,18610,18612,18440
30340,,23001,"Androscoggin County, ME",County or equivalent,107702,107709,107708,107439,107486,107223,107358,107124,107296,107399,107914,108277,111139,111039,111034
31260,,48005,"Angelina County, TX",County or equivalent,86771,86771,86905,87297,87509,87312,87567,87829,87682,87572,86810,86715,86395,86345,86506
12580,,24003,"Anne Arundel County, MD",County or equivalent,537656,537631,539284,544803,550333,555417,559142,563027,567254,571339,575523,579234,588261,588769,590336
33460,,27003,"Anoka County, MN",County or equivalent,330844,330858,331437,332903,336091,339075,341871,344176,346526,350203,353441,356921,363887,364299,367018
16740,,37007,"Anson County, NC",County or equivalent,26948,26929,26852,26512,26309,25957,25965,25602,25165,24829,24470,24446,22055,22030,22060
31340,,51011,"Appomattox County, VA",County or equivalent,14973,15028,15098,15109,15246,15320,15348,15492,15528,15723,15881,15911,16119,16133,16353
40530,,48007,"Aransas County, TX",County or equivalent,23158,23158,23181,23216,23459,23889,24566,24800,25162,25392,23446,23510,23830,23916,24510
19740,,8005,"Arapahoe County, CO",County or equivalent,572003,572118,574747,585968,596500,608467,619034,630984,638950,644478,651797,656590,655070,655112,654900
48660,,48009,"Archer County, TX",County or equivalent,9054,9061,9118,8840,8816,8801,8844,8763,8781,8783,8700,8553,8560,8557,8681
