regionName,statename,StateCodeFIPs,JulyValue16,JulyValue17,Julyvalue18,Julyvalue19,Julyvalue20,Julyvalue21,JanValue22,Febvalue22,MarValue22,AprValue22,MayValue22,JunValue22,JulyValue22,2020HousingUnits,2021HousingUnits,pop20,pop21,Unemployment_rate_2016,unemployment_rate_2017,unemployment_rate_2018,unemployment_rate_2019,unemployment_rate_2020,unemployment_rate_2021,MedHHIncome2020,MedHHIncomePercent2020
Anchorage Borough,AK,2,317275,313457,317493,340397,328873,353655,356434,363505,367983,379289,389486,403351,413754,118895,119810,290637,288121,5.3,5.4,5,4.5,7.8,5.8,"84,577",105.8
Fairbanks North Star Borough,AK,2,162068,170128,174598,175471,182846,197694,197568,197976,195646,195065,192923,190872,188854,42663,42668,95286,95593,5.6,5.7,5.2,4.8,6.7,5,"76,650",95.9
Matanuska Susitna Borough,AK,2,272546,277072,275375,275968,271181,255532,255462,255947,257156,258130,259033,260319,262094,51099,51143,107460,110686,7.9,7.7,6.9,6.2,8.7,6.8,"89,502",111.9
Kenai Peninsula Borough,AK,2,214251,218035,216408,234044,247872,266969,281956,286471,287608,288643,289688,292776,296122,32649,32733,58893,59767,8.2,7.7,7,6.1,9.5,7.3,"68,448",85.6
Juneau Borough,AK,2,366085,375157,382650,396585,405685,431169,453888,459568,459783,460032,461723,466428,471404,14135,14177,32195,31973,4.3,4.3,4,4,7,4.7,"89,204",111.6
Kodiak Island Borough,AK,2,287644,296794,300965,315180,325120,347422,365650,370222,370037,370337,371367,374679,377848,5832,5848,13023,12787,4.9,4.7,5.4,5,6.6,6.4,"72,028",90.1
Ketchikan Gateway Borough,AK,2,287593,292840,296792,307501,312472,334442,353223,357916,358148,358621,360418,363903,367081,6625,6665,13902,13754,6.2,5.8,5.5,5.6,10.2,7.4,"76,780",96
Jefferson County,AL,1,125022,129971,136599,144783,156394,179763,197022,200611,203218,206789,209214,211954,213334,308030,309224,673341,667820,5.7,4.4,3.7,3,6.9,3.6,"57,802",107.1
Mobile County,AL,1,111817,116264,121853,126049,134595,157162,171227,173518,175856,178168,179667,180992,181800,184563,185302,414250,413073,6.6,5.3,4.6,3.9,8.7,4.7,"50,871",94.3
Madison County,AL,1,168148,169026,181826,188631,211492,251166,284548,290770,295991,301245,305392,308633,310140,170554,174157,389696,395211,5.1,4,3.4,2.7,5.1,2.7,"67,810",125.7
Montgomery County,AL,1,97442,99874,99348,102533,106533,120272,132033,134312,136661,138981,141126,143051,144901,105366,105718,228448,227434,5.7,4.4,4,3.2,8.6,4.9,"49,607",91.9
Shelby County,AL,1,205889,213323,223453,234422,246921,280668,304169,307443,310437,314860,318886,323328,325023,89348,90911,223708,226902,4.3,3.3,2.8,2.3,4.2,2.1,"88,444",163.9
Tuscaloosa County,AL,1,158222,157777,168736,175842,182432,200720,216272,219560,221848,224191,226119,228873,231366,101817,103070,227153,227007,5.7,4.3,3.6,2.8,7.3,3.6,"56,610",104.9
Baldwin County,AL,1,192751,197487,217366,234726,249663,290466,331105,338458,344486,349603,352856,355697,359133,124921,128519,233140,239294,5.4,4.2,3.6,2.9,6.2,3,"71,135",131.8
Lee County,AL,1,169872,181798,195215,204380,211895,235707,0,252952,258296,260151,265097,270303,276579,75378,77656,174601,177218,5.2,4.1,3.6,2.9,5.8,2.8,"58,963",109.3
Morgan County,AL,1,123894,127153,129859,138782,145399,171687,187916,190276,192925,195541,198073,200842,203354,53309,53545,123336,123668,5.5,4.2,3.5,2.7,5,2.6,"55,688",103.2
Calhoun County,AL,1,92196,93764,97223,102655,107138,126308,136060,138955,141888,143847,145186,146078,146680,53081,53205,116266,115972,6.6,5.1,4.6,3.7,7.8,4.1,"50,259",93.1
Etowah County,AL,1,82857,83977,90820,93873,97582,111114,124660,128172,129665,131182,131864,132937,133942,47315,47418,103393,103162,5.9,4.7,4.1,3.5,8.5,4.1,"47,872",88.7
Houston County,AL,1,123949,126926,126691,128824,135782,148961,161376,163332,165542,169003,172296,175135,177559,49364,49746,107190,107458,5.8,4.5,4,3.2,6,3.4,"54,391",100.8
Marshall County,AL,1,114382,115492,121597,130975,142261,163147,176234,179798,184112,187992,191228,193144,191872,41285,41489,97608,98228,5.3,3.9,3.4,2.6,4.7,2.4,"51,417",95.3
Lauderdale County,AL,1,109529,114016,119230,122940,128287,151065,169223,172788,175266,178474,180454,182238,182894,44613,44720,93610,94043,6.4,4.7,4.2,3.5,6.2,3.2,"52,293",96.9
Saint Clair County,AL,1,169916,179248,184270,192545,206446,231087,253418,254923,257489,261234,266234,266757,266820,38003,38505,91333,92748,5.2,4.1,3.5,2.8,5.4,2.6,"61,973",114.9
Limestone County,AL,1,0,0,0,183443,195734,230430,252968,258680,262955,267297,271499,280502,289932,42791,43357,104322,107517,5.3,4.1,3.5,2.8,4.7,2.5,"70,850",131.3
Talladega County,AL,1,95183,97092,100108,104985,110655,124256,133005,136549,138094,139978,141274,143196,144821,38000,38226,82069,81524,6.6,5.1,4.2,3.6,7.8,4.1,"44,802",83
Cullman County,AL,1,121321,126220,132525,140369,147001,165178,177276,0,188058,191975,192862,195093,197133,39223,39463,88044,89496,5,3.8,3.3,2.7,4.8,2.4,"51,844",96.1
Elmore County,AL,1,154003,161607,165022,167796,174927,201095,210674,212720,215594,219189,222619,224812,225628,36850,37079,88116,89304,4.8,3.8,3.4,2.7,5.3,2.7,"62,524",115.9
De Kalb County,AL,1,91756,95795,100654,106953,113246,126493,129739,132965,134163,135420,135951,137377,138646,30614,30778,71630,71813,6.1,4.6,3.8,2.9,5,2.5,"47,156",87.4
Walker County,AL,1,105185,107813,110947,115486,120536,131293,139420,143043,144523,145791,146201,147466,148943,30004,30167,65100,64818,7.5,5.2,4.2,3.5,6.5,3.6,"46,519",86.2
Blount County,AL,1,183148,189125,198678,210991,221145,252810,263247,256970,261522,265035,266360,259896,256342,24646,24752,59081,59041,5.4,4.1,3.5,2.8,4.6,2.4,"55,203",102.3
Autauga County,AL,1,186098,188927,196548,205075,212651,221108,231674,234901,238887,241905,243281,243207,245149,24415,24773,58877,59095,5.1,4,3.6,2.9,5.4,2.8,"67,565",125.2
Colbert County,AL,1,102400,104862,108115,112693,116247,129142,137376,141239,142625,144320,145878,147517,151080,27701,27888,57236,57474,7,5.3,4.6,3.9,7.3,4,"54,185",100.4
Jackson County,AL,1,99119,101649,107720,111220,113859,127013,135782,139286,140531,142029,142531,143757,145127,24645,24750,52519,52773,6.3,4.9,4.1,3.5,5.9,2.9,"46,606",86.4
Russell County,AL,1,93626,95097,96931,101561,106190,119122,127235,130573,131917,133408,134313,135873,137216,27289,27493,59226,58722,5.6,4.4,4,3.1,5.8,3.1,"40,821",75.7
Dale County,AL,1,89027,89341,93073,96065,100182,109148,115376,118346,119527,120895,121520,122562,123558,22779,22873,49214,49342,5.8,4.6,4.2,3.3,5.4,3.1,"48,493",89.9
Coffee County,AL,1,120260,123209,127387,132237,136532,151981,160250,162304,162994,164202,165496,167551,169038,24182,24464,53565,54174,5.9,4.5,3.9,3,4.9,2.8,"54,203",100.5
Dallas County,AL,1,53279,53101,55877,56356,58088,62531,66075,67481,67830,68286,68366,68973,69542,18884,18917,38190,37619,9.2,7.7,6.4,5.7,11.8,7.4,"37,679",69.8
Chilton County,AL,1,109119,113752,118854,124838,129975,146017,155081,158466,159356,160204,160940,162700,164400,19462,19585,45024,45274,5.5,4.2,3.6,2.9,5.5,2.9,"52,693",97.7
Tallapoosa County,AL,1,122087,126494,133488,141567,147265,164235,174625,179121,180976,182862,183993,185911,187625,22718,22900,41229,41023,5.6,4.3,4.1,3.2,7.6,4,"46,654",86.5
Escambia County,AL,1,84516,86026,90061,94280,97835,109582,116718,119661,120695,121956,122744,124251,125551,16690,16727,36665,36699,6.7,5.1,4.5,3.7,6.8,4.1,"41,212",76.4
Covington County,AL,1,84455,88202,92310,96116,98173,107921,114706,117439,118631,119966,120523,121665,122544,18619,18664,37469,37524,6.8,5.3,4.5,3.6,5.5,3,"43,544",80.7
Lawrence County,AL,1,99813,104685,109978,116057,120609,133449,142008,146055,147979,150133,150801,152090,153313,15236,15291,33063,33090,6.9,5,4.1,3.3,5.5,2.9,"48,924",90.7
Chambers County,AL,1,63121,65682,67238,69992,72239,81040,86594,88617,89184,89910,90013,90644,91276,16389,16416,34678,34541,5.5,4.2,3.9,3.1,7.5,3.7,"39,318",72.9
Pike County,AL,1,0,0,116342,119854,121090,131662,139527,142595,143650,144613,145054,146216,147316,16005,16103,32981,32991,6.5,5,4.5,3.4,5.5,3.2,"43,141",80
Franklin County,AL,1,75567,78151,82549,85610,89695,99795,106183,108879,109924,110947,111430,112555,113649,13918,13953,32063,32013,5.9,4.4,3.7,2.9,5,2.5,"40,448",75
Marion County,AL,1,76231,77652,80756,85074,88694,97604,104545,107297,108507,109875,110533,111660,112613,14091,14137,29287,29246,6.6,4.9,4,3.7,5.6,2.8,"44,333",82.2
Barbour County,AL,1,0,0,0,96853,95841,110035,118332,120669,122051,123754,124664,125181,126243,11627,11677,25180,24964,8.4,6,5.1,4,7.8,5.7,"38,866",72
Geneva County,AL,1,81425,85157,90022,93134,94731,103623,110374,112934,113921,115094,115572,116800,117918,12463,12517,26675,26701,5.8,4.4,3.9,3.1,4.6,2.8,"39,882",73.9
Cherokee County,AL,1,110572,115592,119791,126766,132369,149287,156749,159095,159423,160681,161390,162857,164166,14532,14616,24958,24996,5.1,4.2,3.5,3,5.1,2.5,"50,388",93.4
Clarke County,AL,1,0,0,0,0,103046,111731,119383,121567,122204,123248,124276,125941,127287,11662,11701,22995,22760,10.9,8.7,7.4,6,9.9,6,"44,178",81.9
Winston County,AL,1,101927,105415,109022,113536,114531,125429,132830,136276,138095,139921,140904,142282,143702,13028,13086,23491,23652,7.1,5.1,4.2,3.5,5.2,2.8,"46,453",86.1
Monroe County,AL,1,0,0,0,80399,80535,93487,100892,102812,103880,105403,106795,108107,109060,10133,10162,19723,19648,9.1,6.9,6.1,5.1,9,5.6,"38,812",71.9
Bibb County,AL,1,111873,116455,121047,126391,133701,147789,157747,161312,162572,164259,165087,167128,168989,9014,9077,22223,22477,6.5,4.5,4,3.2,7.3,3.5,"50,907",94.3
Randolph County,AL,1,88232,93739,98355,101660,107742,119846,126405,130268,132405,134281,134888,136173,137390,12406,12438,21971,21989,5.6,4.5,4,3.2,5.3,2.7,"46,679",86.5
Macon County,AL,1,0,42600,46132,50284,55144,62319,68083,69717,70333,70898,71571,72903,74293,9609,9634,19476,18895,7.6,5.9,5.4,4.4,10.5,6,"37,736",69.9
Marengo County,AL,1,81062,87052,91747,94424,90915,106347,111953,112875,112686,113715,114544,116018,117815,9783,9814,19264,18996,7.2,5.7,4.9,3.7,6.9,4.2,"43,198",80.1
Butler County,AL,1,68559,70828,71431,73920,76896,85150,90489,92602,93488,94260,94841,95943,97235,9812,9841,19045,18884,6.9,5.6,4.7,3.9,9.6,5.3,"42,268",78.3
Pickens County,AL,1,77092,80530,84773,92204,94457,106605,112692,115688,117040,118600,119161,120432,121683,8653,8688,19062,18801,6.9,5.5,4.6,3.7,7.3,4.1,"41,870",77.6
Washington County,AL,1,0,0,0,0,0,108738,117016,119620,121255,122128,122723,123459,124199,7720,7754,15296,15147,8.6,6.9,5.8,4.9,8.9,4.7,"36,346",67.4
Henry County,AL,1,99141,101459,107525,112805,115979,123009,130331,133492,134650,135814,136423,137480,138394,9069,9160,17167,17459,6.5,5,4.4,3.8,5.4,3.2,"51,126",94.8
Fayette County,AL,1,68211,69588,72703,76534,80330,90467,96620,99084,100143,101370,102294,103770,104966,7765,7782,16307,16148,6.8,4.8,4,3.3,5.6,3.1,"45,937",85.1
Hale County,AL,1,86505,92153,95098,99276,97575,112954,120617,123802,126027,128252,129633,130887,131694,7410,7465,14792,14754,7.7,6.1,5,4.1,10.3,5.7,"41,836",77.5
Cleburne County,AL,1,96454,99540,104932,114101,116374,132889,143859,148610,150923,153191,154901,157535,160162,6806,6833,15035,15103,6,4.6,4.2,3.3,5.1,2.6,"50,134",92.9
Lamar County,AL,1,66904,69603,72042,76176,76742,87551,95391,98687,100292,101347,102069,103705,104532,7074,7088,13943,13689,5.7,4.3,3.8,3.2,5.4,3,"40,204",74.5
Clay County,AL,1,86038,88923,91664,96645,103285,118922,126604,130486,132673,134883,135670,136413,137878,7037,7054,14193,14190,6,4.4,3.8,3.1,4.5,2.7,"44,763",83
Crenshaw County,AL,1,71826,71796,76013,77698,79263,88837,92598,94842,95626,96619,97039,98224,99189,6521,6546,13157,13083,5.9,4.6,4,3,6.3,3.3,"45,927",85.1
Sumter County,AL,1,0,0,0,51274,57629,63020,66292,68264,69908,70878,71904,73000,74131,6287,6317,12295,12164,7.7,6.7,5.8,4.8,7.7,4.5,"32,275",59.8
Conecuh County,AL,1,0,0,71178,75234,74063,83440,90847,93083,94455,95830,96780,97768,98685,6389,6426,11552,11328,8.4,6.3,5.2,4.2,8,4.8,"34,664",64.2
Wilcox County,AL,1,81887,85084,89128,92773,88700,92094,97612,100095,100421,100748,100307,101048,102074,5267,5297,10518,10446,14.5,11.7,9.4,7.5,16.2,11,"31,909",59.1
Coosa County,AL,1,100259,105707,114340,123875,119985,130268,136511,139976,140965,142358,142849,144471,145596,6004,6032,10383,10450,6,4.8,4.1,3.1,6.1,3.1,"46,509",86.2
Lowndes County,AL,1,71844,73644,73710,75686,77918,85041,91695,93960,94756,95447,95508,96702,97459,4785,4814,10297,9965,10.6,8.4,7.3,6,14.5,9.2,"37,499",69.5
Bullock County,AL,1,0,0,0,0,0,76635,80739,82027,83020,83754,83625,83551,83662,4520,4544,10309,10320,6.9,5,4.6,3.9,6,4,"33,124",61.4
Greene County,AL,1,69953,72854,71828,72056,77434,87775,93558,95426,95296,95274,95074,95954,96432,4212,4246,7704,7629,10,7.7,6.6,5.9,11.8,6.9,"33,609",62.3
Pulaski County,AR,5,136519,136364,140321,142241,146924,158829,174485,176925,178561,180542,182370,184684,185850,190895,191962,399073,397821,3.6,3.4,3.4,3.3,7.4,4.9,"56,171",109.8
Benton County,AR,5,172721,182737,194172,201010,216579,263779,298678,304292,309512,315476,321945,329473,335280,114011,118234,286353,293692,2.9,3,2.9,2.6,4.5,2.8,"78,678",153.8
