County,State,2010 Housing Units,2011 Housing Units,2012 Housing Units,2013 Housing Units,2014 Housing Units,2015 Housing Units,2016 Housing Units,2017 Housing Units,2018 Housing Units,2019 Housing Units,2020HousingUnits,2021HousingUnits
Autauga County,AL,22172,22347,22463,22826,22950,23085,23256,23463,23694,23896,24415,24773
Baldwin County,AL,104289,104915,105640,106750,108018,109331,111466,113982,116432,119412,124921,128519
Barbour County,AL,11831,11843,11908,11913,11923,11939,11966,12006,12051,12080,11627,11677
Bibb County,AL,8988,8993,9018,9042,9070,9101,9129,9175,9225,9261,9014,9077
Blount County,AL,23902,23935,23983,24021,24056,24101,24206,24317,24440,24517,24646,24752
Bullock County,AL,4494,4499,4506,4511,4516,4523,4534,4553,4574,4587,4520,4544
Butler County,AL,9964,9971,9992,10004,10013,10024,10042,10081,10121,10147,9812,9841
Calhoun County,AL,53298,53249,53316,53351,53380,53456,53508,53621,53732,53796,53081,53205
Chambers County,AL,16993,16988,16979,16972,16962,16959,16958,16981,16997,17009,16389,16416
Cherokee County,AL,16275,16283,16362,16390,16420,16450,16496,16571,16660,16715,14532,14616
Chilton County,AL,19283,19327,19378,19419,19465,19575,19645,19757,19901,20056,19462,19585
Choctaw County,AL,7272,7256,7270,7280,7291,7303,7322,7355,7391,7413,7111,7146
Clarke County,AL,12642,12646,12661,12673,12693,12713,12735,12777,12828,12857,11662,11701
Clay County,AL,6776,6778,6781,6781,6783,6785,6791,6805,6822,6833,7037,7054
Cleburne County,AL,6723,6739,6754,6763,6774,6787,6805,6836,6869,6891,6806,6833
Coffee County,AL,22373,22596,22806,22887,22962,23015,23075,23162,23288,23403,24182,24464
Colbert County,AL,25777,25840,25947,26084,26228,26345,26447,26577,26723,26861,27701,27888
Conecuh County,AL,7098,7104,7114,7119,7126,7137,7154,7180,7208,7223,6389,6426
Coosa County,AL,6490,6497,6510,6517,6527,6538,6555,6583,6615,6635,6004,6032
Covington County,AL,18834,18844,18869,18880,18902,18914,18936,18982,19034,19068,18619,18664
Crenshaw County,AL,6733,6737,6752,6759,6769,6777,6789,6815,6844,6862,6521,6546
Cullman County,AL,37075,37039,37152,37225,37330,37445,37578,37803,38048,38252,39223,39463
Dale County,AL,22705,22841,22880,22955,22978,23002,23029,23091,23157,23201,22779,22873
Dallas County,AL,20209,20248,20316,20305,20352,20361,20367,20399,20438,20460,18884,18917
De Kalb County,AL,31106,30899,30959,30999,31049,31111,31185,31302,31450,31593,30614,30778
Elmore County,AL,32675,32794,32969,33221,33499,33786,33994,34176,34347,34475,36850,37079
Escambia County,AL,16490,16494,16509,16509,16514,16540,16549,16583,16624,16645,16690,16727
Etowah County,AL,47469,47501,47550,47576,47577,47594,47628,47705,47800,47855,47315,47418
Fayette County,AL,8438,8435,8445,8449,8455,8460,8473,8496,8525,8540,7765,7782
Franklin County,AL,14027,13882,13920,13926,13962,13976,14021,14058,14098,14126,13918,13953
Geneva County,AL,12690,12712,12735,12747,12763,12781,12807,12857,12916,12955,12463,12517
Greene County,AL,5008,5005,5020,5032,5045,5061,5081,5114,5151,5177,4212,4246
Hale County,AL,7664,7639,7660,7680,7698,7719,7742,7785,7837,7880,7410,7465
Henry County,AL,8901,8948,8999,9026,9050,9076,9108,9156,9212,9255,9069,9160
Houston County,AL,45386,45604,45822,46283,46602,46879,47135,47448,47799,48134,49364,49746
Jackson County,AL,24796,24726,24777,24798,24839,24891,24956,25049,25126,25194,24645,24750
Jefferson County,AL,300668,300651,301511,303021,304037,305454,307075,308243,308900,309697,308030,309224
Lamar County,AL,7356,7358,7364,7366,7370,7374,7382,7399,7422,7431,7074,7088
Lauderdale County,AL,43805,43927,44025,44284,44420,44450,44642,44830,45457,45611,44613,44720
Lawrence County,AL,15234,15120,15142,15156,15172,15191,15220,15271,15328,15363,15236,15291
Lee County,AL,62712,63684,64642,65337,66025,66933,67794,68725,70151,71225,75378,77656
Limestone County,AL,35024,35111,35264,35398,35430,35623,35805,36028,36301,36526,42791,43357
Lowndes County,AL,5140,5143,5151,5155,5162,5175,5192,5221,5253,5274,4785,4814
Macon County,AL,10259,10261,10268,10268,10271,10271,10276,10293,10312,10321,9609,9634
Madison County,AL,147081,148830,150506,152489,154372,156739,158927,161520,164048,166516,170554,174157
Marengo County,AL,10249,10267,10278,10280,10285,10290,10309,10345,10378,10397,9783,9814
Marion County,AL,14744,14586,14610,14625,14640,14655,14679,14726,14779,14806,14091,14137
Marshall County,AL,40325,40287,40341,40374,40411,40440,40483,40573,40697,40791,41285,41489
Mobile County,AL,178758,179461,180705,181278,181826,182245,182845,183786,184560,185035,184563,185302
Monroe County,AL,11335,11339,11349,11353,11362,11368,11386,11415,11451,11471,10133,10162
Montgomery County,AL,101656,102133,102669,103114,103389,103910,104475,104823,105131,105317,105366,105718
Morgan County,AL,51211,51327,51414,51524,51635,51744,51867,52079,52263,52398,53309,53545
Perry County,AL,4731,4729,4730,4728,4727,4727,4730,4737,4747,4750,3935,3946
Pickens County,AL,9486,9492,9505,9511,9521,9531,9550,9586,9623,9647,8653,8688
Pike County,AL,15286,15370,15453,15875,15947,15994,16041,16107,16206,16273,16005,16103
Randolph County,AL,11988,12001,12019,12025,12033,12044,12061,12097,12136,12157,12406,12438
