,RegionID,RegionName,Statename,julyvalue16,julyvalue17,julyvalue18,julyvalue19,julyvalue20,julyvalue21,Janvalue22,febvalue22,marchvalue22,aprvalue22,mayvalue22,junevalue22,julyvalue22,JulyListings22,JulyInv22,pop20,PopMale20,PopFemale20,MedianAge20,MedianAgeMale20,medianAgeFemale20,pop21,PopMale21,PopFemale21,MedianAgeMale21,MedianAgeFemale21,MedianAge21,StateCode
0,394297,"Aberdeen, SD",SD,150756,160313,168185,173277,175803,192832,202526,207055,209063,211212,212133,214395,216573,53.0,101,42187.0,20937.0,21250.0,38.3,37.7,39.0,42134.0,20903.0,21231.0,38.0,39.2,38.6,0
1,394298,"Aberdeen, WA",WA,143058,155767,174051,192211,217648,274100,318556,326717,332651,339953,345792,353609,358311,189.0,433,75811.0,38877.0,36934.0,44.4,43.2,45.8,76841.0,39448.0,37393.0,43.5,45.9,44.7,1
2,394299,"Abilene, TX",TX,119201,123626,131428,136147,141065,158980,172185,174052,176223,178761,181031,182951,184174,268.0,544,176809.0,89408.0,87401.0,34.2,33.2,35.2,177314.0,89671.0,87643.0,33.5,35.3,34.4,2
3,394300,"Ada, OK",OK,94179,96676,103013,99878,104325,116926,127384,130203,131117,132288,133456,134573,135715,43.0,106,38077.0,18620.0,19457.0,35.9,34.9,37.0,38163.0,18561.0,19602.0,35.0,36.9,36.0,3
4,394302,"Adrian, MI",MI,132336,145224,151872,159528,165701,189462,210403,213025,216074,220213,223724,227199,229720,162.0,409,99214.0,50413.0,48801.0,41.9,40.5,43.6,98956.0,50297.0,48659.0,40.8,43.7,42.2,4
5,394304,"Akron, OH",OH,130034,137116,144766,153110,161460,184064,195405,197600,199892,202473,205319,207722,209380,1051.0,1871,701305.0,342719.0,358586.0,40.6,39.6,41.7,700015.0,341789.0,358226.0,39.7,41.8,40.8,5
6,394305,"Alamogordo, NM",NM,0,0,0,130869,140428,154463,163774,167589,168606,169748,170440,172081,173696,93.0,237,67861.0,35240.0,32621.0,36.2,34.5,38.4,68537.0,35682.0,32855.0,34.7,38.5,36.6,6
7,394306,"Albany, GA",GA,98766,102813,108238,112475,112377,123905,132838,136497,137935,139492,140119,142042,144022,150.0,360,148417.0,70496.0,77921.0,37.5,35.9,38.9,147773.0,70139.0,77634.0,35.9,39.0,37.5,7
8,394307,"Albany, OR",OR,202173,229603,257847,275350,295296,348212,386625,392967,398853,405278,410287,413690,413956,181.0,335,128936.0,64141.0,64795.0,39.9,39.1,40.7,129839.0,64524.0,65315.0,39.0,40.6,39.8,8
9,394308,"Albany, NY",NY,185092,190393,200924,206451,212044,244292,260689,261886,264334,267738,271435,274041,276151,738.0,1476,898561.0,442219.0,456342.0,40.5,39.3,41.7,899286.0,442304.0,456982.0,39.4,41.7,40.5,9
10,394310,"Albert Lea, MN",MN,102146,108628,114293,121270,121135,140017,149413,150850,150757,150612,151282,152610,154040,42.0,87,30883.0,15528.0,15355.0,43.7,42.7,44.8,30749.0,15440.0,15309.0,42.6,44.8,43.7,10
11,394311,"Albertville, AL",AL,114382,115492,121597,130975,142261,163147,176234,179798,184112,187992,191228,193144,191872,114.0,268,97608.0,48350.0,49258.0,38.8,37.4,40.1,98228.0,48603.0,49625.0,37.4,39.9,38.6,11
12,394312,"Albuquerque, NM",NM,185191,190673,198138,208370,225635,267155,290990,295774,300857,305499,309633,313525,315816,1198.0,2078,917179.0,453704.0,463475.0,38.9,37.8,40.1,918259.0,453922.0,464337.0,38.2,40.4,39.3,6
13,394314,"Alexandria, LA",LA,151091,154380,155727,153065,153078,155800,164338,163991,163929,166235,168524,170417,172278,130.0,344,151736.0,75560.0,76176.0,38.0,36.4,39.7,150890.0,75129.0,75761.0,36.5,39.8,38.1,12
14,394315,"Alexandria, MN",MN,195219,209034,222228,234477,240575,272923,299121,302499,304709,307116,307511,308832,309449,61.0,115,39079.0,19748.0,19331.0,43.6,42.3,45.1,39238.0,19784.0,19454.0,42.6,45.2,43.9,10
15,394316,"Alice, TX",TX,91956,99313,100751,99221,101260,109480,117215,119942,120405,121250,121276,122852,124441,27.0,86,48621.0,24393.0,24228.0,35.7,34.4,37.0,48603.0,24298.0,24305.0,34.6,37.0,35.8,2
